,notes,principal_freq,slope,dur
3063,tickling,92.2998,-531.7788,0.028700000000014825
3064,tickling,92.8264,-742.5511,0.006400000000041928
3065,tickling,98.8488,-374.7883,0.03680000000002792
3066,tickling,95.7638,1563.2655,0.006399999999985084
3068,tickling,90.9487,-1183.6611,0.011200000000030741
3069,tickling,28.1536,-275.4775,0.028799999999989723
3070,tickling,80.6521,207.4704,0.02240000000000464
3073,tickling,82.1878,-169.1593,0.011199999999973898
3076,tickling,101.7251,-145.1604,0.009500000000002728
3077,tickling,100.6362,127.0153,0.012800000000027012
3080,tickling,114.082,-178.5627,0.015899999999987813
3081,tickling,82.7438,753.6566,0.06229999999999336
3089,tickling,90.0029,-391.6515,0.041600000000016735
3090,tickling,61.2585,-366.957,0.041600000000016735
3091,tickling,81.3302,-719.404,0.04949999999999477
3092,tickling,86.7522,-113.6193,0.04949999999999477
3093,tickling,79.6963,330.75,0.044799999999980855
3094,tickling,81.5737,139.625,0.03989999999998872
3095,tickling,80.3127,556.0513,0.025500000000022283
3096,tickling,89.5997,-367.3581,0.05910000000000082
3097,tickling,85.6196,233.2253,0.041500000000013415
3098,tickling,82.1935,131.2882,0.043199999999984584
3099,tickling,74.0634,157.5623,0.03350000000000364
3100,tickling,81.8843,50.2037,0.03520000000000323
3101,tickling,85.3208,-77.0657,0.04149999999998499
3102,tickling,69.7522,174.1379,0.020700000000005048
3103,tickling,84.6926,281.913,0.03509999999999991
3104,tickling,80.9355,167.3714,0.0367999999999995
